Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,169766000,140102000,143950000,141071000
effectOfAccountingCharges,,,,
incomeBeforeTax,949361000,748743000,681394000,651858000
minorityInterest,,,,
netIncome,768985000,602739000,561109000,512611000
sellingGeneralAdministrative,932576000,808021000,814383000,806602000
grossProfit,2171553000,1801031000,1741211000,1684378000
ebit,1006136000,796243000,733188000,689181000
operatingIncome,1006136000,796243000,733188000,689181000
otherOperatingExpenses,,,,
interestExpense,-43242000,-38616000,-37411000,-34511000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,180376000,146004000,120285000,139247000
totalRevenue,3717930000,3085177000,3008652000,2935586000
totalOperatingExpenses,2711794000,2288934000,2275464000,2246405000
costOfRevenue,1546377000,1284146000,1267441000,1251208000
totalOtherIncomeExpenseNet,-56775000,-47500000,-51794000,-37323000
discontinuedOperations,,,,
netIncomeFromContinuingOps,768985000,602739000,561109000,512611000
netIncomeApplicableToCommonShares,768985000,602739000,561109000,512611000
