Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,-4501320000,-4000047000,911365000,969310000
minorityInterest,,,,
netIncome,-4506587000,-4012514000,930228000,954843000
sellingGeneralAdministrative,891845000,745752000,968714000,898355000
grossProfit,-960051000,-413153000,2799115000,2678050000
ebit,-2552741000,-1851205000,1184213000,1218635000
operatingIncome,-2552741000,-1851205000,1184213000,1218635000
otherOperatingExpenses,,,,
interestExpense,-644112000,-454518000,-256191000,-264058000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,5267000,12467000,-18863000,14467000
totalRevenue,647986000,1279908000,6462376000,6055126000
totalOperatingExpenses,3200727000,3131113000,5278163000,4836491000
costOfRevenue,1608037000,1693061000,3663261000,3377076000
totalOtherIncomeExpenseNet,-1948579000,-2148842000,-272848000,-249325000
discontinuedOperations,,,,
netIncomeFromContinuingOps,-4506587000,-4012514000,930228000,954843000
netIncomeApplicableToCommonShares,-4506587000,-4012514000,930228000,954843000
