Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,2273885000,1829600000,1545149000,1221814000
effectOfAccountingCharges,,,,
incomeBeforeTax,5840103000,3199349000,2062231000,1226458000
minorityInterest,,,,
netIncome,5116228000,2761395000,1866916000,1211242000
sellingGeneralAdministrative,3896767000,3304848000,3566831000,2999763000
grossProfit,12365161000,9719737000,7716234000,5826803000
ebit,6194509000,4585289000,2604254000,1605226000
operatingIncome,6194509000,4585289000,2604254000,1605226000
otherOperatingExpenses,,,,
interestExpense,-765620000,-767499000,-626023000,-420493000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,723875000,437954000,195315000,15216000
totalRevenue,29697844000,24996056000,20156447000,15794341000
totalOperatingExpenses,23503335000,20410767000,17552193000,14189115000
costOfRevenue,17332683000,15276319000,12440213000,9967538000
totalOtherIncomeExpenseNet,-354406000,-1385940000,-542023000,-378768000
discontinuedOperations,,,,
netIncomeFromContinuingOps,5116228000,2761395000,1866916000,1211242000
netIncomeApplicableToCommonShares,5116228000,2761395000,1866916000,1211242000
