Breakdown,2022-04-01,2021-04-02,2020-04-03,2019-03-29
researchDevelopment,253000000,267000000,328000000,420000000
effectOfAccountingCharges,,,,
incomeBeforeTax,1042000000,872000000,819000000,-107000000
minorityInterest,,,,
netIncome,836000000,554000000,3887000000,31000000
sellingGeneralAdministrative,829000000,791000000,1069000000,1122000000
grossProfit,2388000000,2189000000,2097000000,2001000000
ebit,1221000000,1058000000,620000000,379000000
operatingIncome,1221000000,1058000000,620000000,379000000
otherOperatingExpenses,,,,
interestExpense,-126000000,-144000000,-196000000,-208000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,206000000,176000000,241000000,3000000
totalRevenue,2796000000,2551000000,2490000000,2456000000
totalOperatingExpenses,1575000000,1493000000,1870000000,2077000000
costOfRevenue,408000000,362000000,393000000,455000000
totalOtherIncomeExpenseNet,-179000000,-186000000,199000000,-486000000
discontinuedOperations,,-142000000.0,3309000000.0,141000000.0
netIncomeFromContinuingOps,836000000,696000000,578000000,-110000000
netIncomeApplicableToCommonShares,836000000,554000000,3887000000,31000000
