Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,8938000000,3728000000,2548000000,3742000000
minorityInterest,,,,
netIncome,7005000000,3189000000,2248000000,3229000000
sellingGeneralAdministrative,-227000000,3249000000,4290000000,2617000000
grossProfit,7268000000,7478000000,7259000000,6820000000
ebit,7495000000,4229000000,2969000000,4203000000
operatingIncome,7495000000,4229000000,2969000000,4203000000
otherOperatingExpenses,,,,
interestExpense,-556000000,-593000000,-528000000,-562000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,1933000000,539000000,300000000,513000000
totalRevenue,35667000000,36799000000,33841000000,30095000000
totalOperatingExpenses,28172000000,32570000000,30872000000,25892000000
costOfRevenue,28399000000,29321000000,26582000000,23275000000
totalOtherIncomeExpenseNet,1443000000,-501000000,-421000000,-461000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,7005000000,3189000000,2248000000,3229000000
netIncomeApplicableToCommonShares,7005000000,3189000000,2248000000,3229000000
