Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,9200858000,835538000,1782807000,3229391000
minorityInterest,587405000,443196000,433310000,409890000
netIncome,6827461000,721470000,1271143000,2360767000
sellingGeneralAdministrative,1728112000,617800000,732523000,860722000
grossProfit,11046917000,2248909000,2700360000,4295408000
ebit,9276805000,1604109000,1932837000,3324686000
operatingIncome,9276805000,1604109000,1932837000,3324686000
otherOperatingExpenses,,,,
interestExpense,-163121000,-166613000,-157358000,-161256000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,2078488000,-490000,411897000,748307000
totalRevenue,36483939000,20139658000,22588858000,25067279000
totalOperatingExpenses,27207134000,18535549000,20656021000,21742593000
costOfRevenue,25437022000,17890749000,19888498000,20771871000
totalOtherIncomeExpenseNet,-75947000,-768571000,-150030000,-95295000
discontinuedOperations,,,,
netIncomeFromContinuingOps,7122370000,836028000,1370910000,2481084000
netIncomeApplicableToCommonShares,6795150000,717114000,1264108000,2351423000
