Breakdown,2022-01-30,2021-01-31,2020-01-26,2019-01-27
researchDevelopment,5268000000,3924000000,2829000000,2376000000
effectOfAccountingCharges,,,,
incomeBeforeTax,9941000000,4409000000,2970000000,3896000000
minorityInterest,,,,
netIncome,9752000000,4332000000,2796000000,4141000000
sellingGeneralAdministrative,2166000000,1912000000,1093000000,991000000
grossProfit,17475000000,10557000000,6768000000,7171000000
ebit,10041000000,4721000000,2846000000,3804000000
operatingIncome,10041000000,4721000000,2846000000,3804000000
otherOperatingExpenses,,,,
interestExpense,-236000000,-184000000,-52000000,-58000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,189000000,77000000,174000000,-245000000
totalRevenue,26914000000,16675000000,10918000000,11716000000
totalOperatingExpenses,16873000000,11954000000,8072000000,7912000000
costOfRevenue,9439000000,6118000000,4150000000,4545000000
totalOtherIncomeExpenseNet,-100000000,-312000000,124000000,92000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,9752000000,4332000000,2796000000,4141000000
netIncomeApplicableToCommonShares,9752000000,4332000000,2796000000,4141000000
