Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1590403000,1078033000,1025795000,959732000
minorityInterest,,,,
netIncome,1236719000,901248000,878539000,797197000
sellingGeneralAdministrative,474808000,431008000,447547000,428874000
grossProfit,2116741000,1548499000,1497677000,1412642000
ebit,1641933000,1117491000,1050130000,983768000
operatingIncome,1641933000,1117491000,1050130000,983768000
otherOperatingExpenses,,,,
interestExpense,-51530000,-39458000,-24335000,-24036000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,353684000,176785000,147256000,162535000
totalRevenue,8966309000,7562791000,7425585000,7187106000
totalOperatingExpenses,7324376000,6445300000,6375455000,6203338000
costOfRevenue,6849568000,6014292000,5927908000,5774464000
totalOtherIncomeExpenseNet,-51530000,-39458000,-24335000,-24036000
discontinuedOperations,,,,
netIncomeFromContinuingOps,1236719000,901248000,878539000,797197000
netIncomeApplicableToCommonShares,1236719000,901248000,878539000,797197000
