Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,1935000000,1686000000,1627000000,1700000000
effectOfAccountingCharges,,,,
incomeBeforeTax,2178000000,-3000000,292000000,2434000000
minorityInterest,242000000,207000000,214000000,185000000
netIncome,1871000000,52000000,243000000,2208000000
sellingGeneralAdministrative,966000000,865000000,920000000,996000000
grossProfit,6067000000,4250000000,4621000000,4851000000
ebit,2609000000,412000000,644000000,706000000
operatingIncome,2609000000,412000000,644000000,706000000
otherOperatingExpenses,1000000,-4000000,-5000000,40000000
interestExpense,-369000000,-362000000,-370000000,-273000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,272000000,-83000000,20000000,176000000
totalRevenue,11063000000,8612000000,8877000000,9407000000
totalOperatingExpenses,8454000000,8200000000,8233000000,8701000000
costOfRevenue,4996000000,4362000000,4256000000,4556000000
totalOtherIncomeExpenseNet,-431000000,-415000000,-352000000,1728000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,1906000000,80000000,272000000,2258000000
netIncomeApplicableToCommonShares,1871000000,52000000,243000000,2208000000
