Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1388423000,901364000,823949000,815513000
minorityInterest,,,,
netIncome,1034375000,672682000,615518000,605668000
sellingGeneralAdministrative,189608000,152643000,176524000,163298000
grossProfit,2000794000,1458315000,1394296000,1343530000
ebit,1391602000,906882000,818706000,817051000
operatingIncome,1391602000,906882000,818706000,817051000
otherOperatingExpenses,159701000,137531000,145385000,132824000
interestExpense,-1727000,-2782000,-377000,-189000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,354048000,228682000,208431000,209845000
totalRevenue,5256328000,4015129000,4109111000,4043695000
totalOperatingExpenses,3864726000,3108247000,3290405000,3226644000
costOfRevenue,3255534000,2556814000,2714815000,2700165000
totalOtherIncomeExpenseNet,-3179000,-5518000,5243000,-1538000
discontinuedOperations,,,,
netIncomeFromContinuingOps,1034375000,672682000,615518000,605668000
netIncomeApplicableToCommonShares,1034375000,672682000,615518000,605668000
