Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,443000000,210000000,220000000,365000000
effectOfAccountingCharges,,,,
incomeBeforeTax,1529000000,2752000000,3696000000,2729000000
minorityInterest,,,,
netIncome,1351000000,2160000000,3218000000,2153000000
sellingGeneralAdministrative,1669000000,1356000000,1443000000,1956000000
grossProfit,3929000000,4413000000,5503000000,5091000000
ebit,1817000000,2847000000,3840000000,2770000000
operatingIncome,1817000000,2847000000,3840000000,2770000000
otherOperatingExpenses,,,,
interestExpense,-258000000,-258000000,-258000000,-6000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,178000000,496000000,390000000,576000000
totalRevenue,6304000000,6532000000,7777000000,9777000000
totalOperatingExpenses,4487000000,3685000000,3937000000,7007000000
costOfRevenue,2375000000,2119000000,2274000000,4686000000
totalOtherIncomeExpenseNet,-288000000,-95000000,-144000000,-41000000
discontinuedOperations,,-96000000.0,-88000000.0,-88000000.0
netIncomeFromContinuingOps,1351000000,2256000000,3306000000,2153000000
netIncomeApplicableToCommonShares,1351000000,2160000000,3218000000,2153000000
