Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1984204000,802316000,1650991000,1517935000
minorityInterest,,,,
netIncome,1499706000,612809000,1278577000,1151703000
sellingGeneralAdministrative,923899000,779601000,876427000,819882000
grossProfit,4283654000,3432096000,3376327000,3170488000
ebit,2571386000,1948805000,1904209000,1818127000
operatingIncome,2571386000,1948805000,1904209000,1818127000
otherOperatingExpenses,166668000,125028000,119156000,103922000
interestExpense,-732924000,-712886000,-491773000,-469620000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,484498000,189507000,372414000,362903000
totalRevenue,16540309000,8542242000,10164367000,12593196000
totalOperatingExpenses,13968923000,6593437000,8260158000,10775069000
costOfRevenue,12256655000,5110146000,6788040000,9422708000
totalOtherIncomeExpenseNet,-587182000,-1146489000,-253218000,-300192000
discontinuedOperations,,,,
netIncomeFromContinuingOps,1499706000,612809000,1278577000,1155032000
netIncomeApplicableToCommonShares,1498606000,611709000,1277477000,1150603000
