Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1996300000,1402500000,1940300000,1933200000
minorityInterest,848800000,702200000,727100000,804100000
netIncome,1407800000,945400000,1339100000,1326400000
sellingGeneralAdministrative,379700000,360500000,405900000,453200000
grossProfit,2703900000,2315000000,2706500000,2764400000
ebit,2112100000,1731900000,2069100000,2047200000
operatingIncome,2112100000,1731900000,2069100000,2047200000
otherOperatingExpenses,,,,
interestExpense,-201100000,-183800000,-191100000,-209100000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,488700000,381700000,504400000,492700000
totalRevenue,14289400000,13171100000,14953700000,15290200000
totalOperatingExpenses,12177300000,11439200000,12884600000,13243000000
costOfRevenue,11585500000,10856100000,12247200000,12525800000
totalOtherIncomeExpenseNet,-115800000,-329400000,-128800000,-114000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,1507600000,1020800000,1435900000,1440500000
netIncomeApplicableToCommonShares,1407800000,945400000,1339100000,1326400000
