Breakdown,2022-05-31,2021-05-31,2020-05-31,2019-05-31
researchDevelopment,7219000000,6527000000,6067000000,6026000000
effectOfAccountingCharges,,,,
incomeBeforeTax,7649000000,12999000000,12063000000,12268000000
minorityInterest,452000000,714000000,643000000,578000000
netIncome,6717000000,13746000000,10135000000,11083000000
sellingGeneralAdministrative,9364000000,8936000000,9275000000,9774000000
grossProfit,33563000000,32624000000,31130000000,31511000000
ebit,15836000000,15653000000,14151000000,14006000000
operatingIncome,15836000000,15653000000,14151000000,14006000000
otherOperatingExpenses,-6000000,129000000,51000000,16000000
interestExpense,-2755000000,-2496000000,-1995000000,-2082000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,932000000,-747000000,1928000000,1185000000
totalRevenue,42440000000,40479000000,39068000000,39506000000
totalOperatingExpenses,26604000000,24826000000,24917000000,25500000000
costOfRevenue,8877000000,7855000000,7938000000,7995000000
totalOtherIncomeExpenseNet,-8187000000,-2654000000,-2088000000,-1738000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,6717000000,13746000000,10135000000,11083000000
netIncomeApplicableToCommonShares,6717000000,13746000000,10135000000,11083000000
