Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,2781914000,2266405000,1790329000,1694087000
minorityInterest,,,,
netIncome,2164685000,1752302000,1391042000,1324487000
sellingGeneralAdministrative,3769781000,3359956000,3204765000,2967382000
grossProfit,7019949000,6085692000,5394691000,5039966000
ebit,2929768000,2422736000,1922626000,1826584000
operatingIncome,2929768000,2422736000,1922626000,1826584000
otherOperatingExpenses,,,,
interestExpense,-144768000,-161126000,-139975000,-122129000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,617229000,514103000,399287000,369600000
totalRevenue,13327563000,11604493000,10149985000,9536428000
totalOperatingExpenses,10397795000,9181757000,8227359000,7709844000
costOfRevenue,6307614000,5518801000,4755294000,4496462000
totalOtherIncomeExpenseNet,-147854000,-156331000,-132297000,-132497000
discontinuedOperations,,,,
netIncomeFromContinuingOps,2164685000,1752302000,1391042000,1324487000
netIncomeApplicableToCommonShares,2164685000,1752302000,1391042000,1324487000
