Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,159000000,152000000,163000000,181000000
effectOfAccountingCharges,,,,
incomeBeforeTax,1961000000,1511000000,1861000000,1893000000
minorityInterest,641000000,661000000,626000000,646000000
netIncome,1246000000,906000000,1116000000,1049000000
sellingGeneralAdministrative,1909000000,1769000000,1699000000,1645000000
grossProfit,4193000000,3779000000,3826000000,3726000000
ebit,2149000000,1879000000,1953000000,1925000000
operatingIncome,2149000000,1879000000,1953000000,1925000000
otherOperatingExpenses,-24000000,-21000000,11000000,-25000000
interestExpense,-136000000,-129000000,-129000000,-129000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,541000000,455000000,594000000,683000000
totalRevenue,14298000000,12756000000,13118000000,12915000000
totalOperatingExpenses,12149000000,10877000000,11165000000,10990000000
costOfRevenue,10105000000,8977000000,9292000000,9189000000
totalOtherIncomeExpenseNet,-188000000,-368000000,-92000000,-32000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,1420000000,1056000000,1267000000,1210000000
netIncomeApplicableToCommonShares,1246000000,906000000,1103000000,1049000000
