Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,3705000000,-15705000000,354000000,5608000000
minorityInterest,,,,
netIncome,2322000000,-14831000000,-667000000,4131000000
sellingGeneralAdministrative,863000000,864000000,893000000,585000000
grossProfit,16297000000,9341000000,12524000000,11256000000
ebit,4361000000,-8335000000,2747000000,4701000000
operatingIncome,4361000000,-8335000000,2747000000,4701000000
otherOperatingExpenses,2070000000,1484000000,2212000000,1467000000
interestExpense,-1492000000,-1852000000,-880000000,-356000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,915000000,-2172000000,861000000,1477000000
totalRevenue,25956000000,17809000000,20911000000,17824000000
totalOperatingExpenses,21595000000,26144000000,18164000000,13123000000
costOfRevenue,9659000000,8468000000,8387000000,6568000000
totalOtherIncomeExpenseNet,-656000000,-7370000000,-2393000000,907000000
discontinuedOperations,-468000000,-1298000000,-15000000,-15000000
netIncomeFromContinuingOps,2790000000,-13533000000,-507000000,4131000000
netIncomeApplicableToCommonShares,1512000000,-15675000000,-985000000,4114000000
