Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,392404000,411199000,443636000,369938000
minorityInterest,76826000,32247000,29702000,32236000
netIncome,359456000,395486000,436482000,363614000
sellingGeneralAdministrative,96980000,69752000,66483000,65497000
grossProfit,1947964000,1542484000,1399578000,1261512000
ebit,953149000,795694000,739134000,656235000
operatingIncome,953149000,795694000,739134000,656235000
otherOperatingExpenses,,,,
interestExpense,-323644000,-309336000,-290991000,-266020000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,31657000,14693000,6158000,5340000
totalRevenue,2081569000,1647087000,1488163000,1327838000
totalOperatingExpenses,1128420000,851393000,749029000,671603000
costOfRevenue,133605000,104603000,88585000,66326000
totalOtherIncomeExpenseNet,-560745000,-384495000,-295498000,-286297000
discontinuedOperations,,,,
netIncomeFromContinuingOps,360747000,396506000,437478000,364598000
netIncomeApplicableToCommonShares,359456000,395486000,436482000,363614000
