Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,118426000,90244000,73080000,46247000
effectOfAccountingCharges,,,,
incomeBeforeTax,255962000,185936000,226087000,174711000
minorityInterest,,,,
netIncome,195960000,143453000,180576000,137065000
sellingGeneralAdministrative,485834000,413916000,306820000,240486000
grossProfit,925049000,743656000,648335000,490105000
ebit,253567000,186123000,226224000,173715000
operatingIncome,253567000,186123000,226224000,173715000
otherOperatingExpenses,,,,
interestExpense,1403000,-1399000,-940000,-766000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,60002000,42483000,45511000,37646000
totalRevenue,1055524000,841434000,737671000,566336000
totalOperatingExpenses,801957000,655311000,511447000,392621000
costOfRevenue,130475000,97778000,89336000,76231000
totalOtherIncomeExpenseNet,2395000,-187000,-137000,996000
discontinuedOperations,,,,
netIncomeFromContinuingOps,195960000,143453000,180576000,137065000
netIncomeApplicableToCommonShares,195960000,143453000,180495000,136906000
