Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,324100000,273900000,326600000,306100000
effectOfAccountingCharges,,,,
incomeBeforeTax,2378600000,1657900000,3099200000,2810200000
minorityInterest,,,,
netIncome,1852100000,1298400000,2387900000,2195100000
sellingGeneralAdministrative,468900000,408900000,502400000,470200000
grossProfit,3162000000,2301000000,3863000000,3519500000
ebit,2369000000,1618200000,3034000000,2743200000
operatingIncome,2369000000,1618200000,3034000000,2743200000
otherOperatingExpenses,,,,
interestExpense,-7400000,-8700000,-12100000,-12100000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,526500000,359500000,711300000,615100000
totalRevenue,23522300000,18728500000,25599700000,23495700000
totalOperatingExpenses,21153300000,17110300000,22565700000,20752500000
costOfRevenue,20360300000,16427500000,21736700000,19976200000
totalOtherIncomeExpenseNet,9600000,39700000,65200000,67000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,1852100000,1298400000,2387900000,2195100000
netIncomeApplicableToCommonShares,1852100000,1298400000,2387900000,2195100000
