Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,-1089000000,2301000000,1950000000,1855000000
minorityInterest,,,,
netIncome,-648000000,1905000000,1693000000,1438000000
sellingGeneralAdministrative,-328000000,-249000000,-177000000,-76000000
grossProfit,3010000000,3432000000,3593000000,3402000000
ebit,2122000000,2396000000,2522000000,2320000000
operatingIncome,2122000000,2396000000,2522000000,2320000000
otherOperatingExpenses,,,,
interestExpense,-571000000,-600000000,-569000000,-476000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,-441000000,396000000,257000000,417000000
totalRevenue,9722000000,9603000000,10076000000,9696000000
totalOperatingExpenses,7600000000,7207000000,7554000000,7376000000
costOfRevenue,6712000000,6171000000,6483000000,6294000000
totalOtherIncomeExpenseNet,-3211000000,-95000000,-572000000,-465000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,-648000000,1905000000,1693000000,1438000000
netIncomeApplicableToCommonShares,-648000000,1905000000,1693000000,1438000000
