Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,539100000,-834200000,86100000,89900000
minorityInterest,-700000,-400000,-800000,-5000
netIncome,420800000,-669500000,43900000,93500000
sellingGeneralAdministrative,1306200000,1118500000,1183700000,618500000
grossProfit,2937200000,1710700000,2346900000,1539900000
ebit,1106300000,225500000,749000000,652400000
operatingIncome,1106300000,225500000,749000000,652400000
otherOperatingExpenses,180200000,180200000,180200000,180200000
interestExpense,-562800000,-544100000,-535600000,-539400000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,118600000,-165100000,43000000,-3600000
totalRevenue,5905000000,3578700000,5301400000,3530600000
totalOperatingExpenses,4798700000,3353200000,4552400000,2878200000
costOfRevenue,2967800000,1868000000,2954500000,1990700000
totalOtherIncomeExpenseNet,-567200000,-1059700000,-662900000,-562500000
discontinuedOperations,,,,
netIncomeFromContinuingOps,420500000,-669100000,43100000,93500000
netIncomeApplicableToCommonShares,418700000,-669500000,43900000,93500000
