Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,10517000000,8867000000,7721000000,7713000000
effectOfAccountingCharges,,,,
incomeBeforeTax,24310000000,7036000000,11320000000,3595000000
minorityInterest,262000000,235000000,303000000,351000000
netIncome,21979000000,9159000000,16026000000,11153000000
sellingGeneralAdministrative,9565000000,11419000000,12766000000,12149000000
grossProfit,50627000000,33284000000,33058000000,31953000000
ebit,26845000000,9650000000,8142000000,7355000000
operatingIncome,26845000000,9650000000,8142000000,7355000000
otherOperatingExpenses,,,,-1002000000.0
interestExpense,-1291000000,-1449000000,-1573000000,-1316000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,1852000000,370000000,583000000,-266000000
totalRevenue,81288000000,41651000000,40905000000,40825000000
totalOperatingExpenses,54443000000,32001000000,32763000000,33470000000
costOfRevenue,30661000000,8367000000,7847000000,8872000000
totalOtherIncomeExpenseNet,-2535000000,-2614000000,3178000000,-3760000000
discontinuedOperations,-434000000,2529000000,5318000000,7328000000
netIncomeFromContinuingOps,22458000000,6666000000,10737000000,3861000000
netIncomeApplicableToCommonShares,21979000000,9159000000,16025000000,11152000000
