Breakdown,2022-06-30,2021-06-30,2020-06-30,2019-06-30
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,17995000000,17615000000,15834000000,6069000000
minorityInterest,,276000000.0,357000000.0,385000000.0
netIncome,14742000000,14306000000,13027000000,3897000000
sellingGeneralAdministrative,20217000000,20351000000,19454000000,18709000000
grossProfit,38030000000,39144000000,36314000000,32916000000
ebit,17813000000,18793000000,16860000000,14207000000
operatingIncome,17813000000,18793000000,16860000000,14207000000
otherOperatingExpenses,,,,
interestExpense,-439000000,-502000000,-465000000,-509000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,3202000000,3263000000,2731000000,2103000000
totalRevenue,80187000000,76118000000,70950000000,67684000000
totalOperatingExpenses,62374000000,57325000000,54090000000,53477000000
costOfRevenue,42157000000,36974000000,34636000000,34768000000
totalOtherIncomeExpenseNet,182000000,-1178000000,-1026000000,-8138000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,14793000000,14352000000,13103000000,3966000000
netIncomeApplicableToCommonShares,14742000000,14035000000,12764000000,3634000000
