Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,2509845000,1728694000,1339576000,1347540000
minorityInterest,,,,
netIncome,1946320000,1406839000,1016700000,1022023000
sellingGeneralAdministrative,1208698000,1001142000,1044337000,1012023000
grossProfit,3783112000,2786016000,2411374000,2455866000
ebit,2564966000,1775020000,1354702000,1437397000
operatingIncome,2564966000,1775020000,1354702000,1437397000
otherOperatingExpenses,9448000,9854000,12335000,6446000
interestExpense,-502000,-4248000,-584000,-618000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,563525000,321855000,322876000,325517000
totalRevenue,13926882000,11036082000,10212957000,10188331000
totalOperatingExpenses,11361916000,9261062000,8858255000,8750934000
costOfRevenue,10143770000,8250066000,7801583000,7732465000
totalOtherIncomeExpenseNet,-55121000,-46326000,-15126000,-89857000
discontinuedOperations,,,,
netIncomeFromContinuingOps,1946320000,1406839000,1016700000,1022023000
netIncomeApplicableToCommonShares,1929985000,1394385000,1006329000,1010831000
