Breakdown,2021-06-30,2020-06-30,2019-06-30,2018-06-30
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,2246957000,1506854000,1949475000,1702277000
minorityInterest,15363000,14546000,6183000,5627000
netIncome,1746100000,1201970000,1524516000,1060801000
sellingGeneralAdministrative,1553302000,1548339000,1568725000,1643000000
grossProfit,3932960000,3532229000,3646004000,3609596000
ebit,2379658000,1983890000,2077279000,1966596000
operatingIncome,2379658000,1983890000,2077279000,1966596000
otherOperatingExpenses,,,,
interestExpense,-250036000,-308161000,-190138000,-213873000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,500096000,304522000,424392000,640962000
totalRevenue,14347640000,13695520000,14320324000,14302392000
totalOperatingExpenses,11967982000,11711630000,12243045000,12335796000
costOfRevenue,10414680000,10163291000,10674320000,10692796000
totalOtherIncomeExpenseNet,-132701000,-477036000,-127804000,-264319000
discontinuedOperations,,,,
netIncomeFromContinuingOps,1746861000,1202332000,1525083000,1061315000
netIncomeApplicableToCommonShares,1746100000,1201970000,1524516000,1060801000
