Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,3322848000,1747088000,1776363000,1886290000
minorityInterest,4315337000,4353033000,3418657000,3502795000
netIncome,2939723000,1481814000,1572959000,1649361000
sellingGeneralAdministrative,293167000,274845000,266718000,238985000
grossProfit,3915208000,3566001000,2611872000,2345021000
ebit,2021664000,1699177000,1192126000,1145262000
operatingIncome,2021664000,1699177000,1192126000,1145262000
otherOperatingExpenses,22435000,30010000,13149000,13560000
interestExpense,-266228000,-314507000,-239953000,-229141000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,174258000,130458000,74517000,63330000
totalRevenue,5163695000,4736105000,3530799000,3102709000
totalOperatingExpenses,3142031000,3036928000,2338673000,1957447000
costOfRevenue,1248487000,1170104000,918927000,757688000
totalOtherIncomeExpenseNet,1301184000,47911000,584237000,741028000
discontinuedOperations,,,,
netIncomeFromContinuingOps,3148590000,1616630000,1701846000,1822960000
netIncomeApplicableToCommonShares,2933571000,1473122000,1566950000,1643426000
