Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,12381000000,10969000000,10021000000,10731000000
minorityInterest,1898000000,1936000000,1978000000,1720000000
netIncome,9109000000,8056000000,7185000000,7911000000
sellingGeneralAdministrative,8203000000,7332000000,8168000000,7449000000
grossProfit,21375000000,19125000000,19292000000,18867000000
ebit,13076000000,11720000000,11058000000,11336000000
operatingIncome,13076000000,11720000000,11058000000,11336000000
otherOperatingExpenses,,,,
interestExpense,-737000000,-728000000,-796000000,-855000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,2671000000,2377000000,2293000000,2445000000
totalRevenue,31405000000,28694000000,29805000000,29625000000
totalOperatingExpenses,18329000000,16974000000,18747000000,18289000000
costOfRevenue,10030000000,9569000000,10513000000,10758000000
totalOtherIncomeExpenseNet,-695000000,-751000000,-1037000000,-605000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,9710000000,8592000000,7728000000,8286000000
netIncomeApplicableToCommonShares,9083000000,8036000000,7168000000,7895000000
