Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,6988000000,3429000000,5492000000,5486000000
minorityInterest,31000000,31000000,29000000,42000000
netIncome,5674000000,7517000000,5369000000,5301000000
sellingGeneralAdministrative,9811000000,7911000000,7992000000,7677000000
grossProfit,19990000000,13726000000,16066000000,15782000000
ebit,0,0,0,0
operatingIncome,6988000000,3429000000,5492000000,5486000000
otherOperatingExpenses,3191000000,2386000000,2582000000,2619000000
interestExpense,,,,
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,1263000000,426000000,901000000,928000000
totalRevenue,19990000000,13726000000,16066000000,15782000000
totalOperatingExpenses,13002000000,10297000000,10574000000,10296000000
costOfRevenue,0,0,0,0
totalOtherIncomeExpenseNet,0,0,0,0
discontinuedOperations,,4555000000.0,827000000.0,788000000.0
netIncomeFromContinuingOps,5725000000,3003000000,4591000000,4558000000
netIncomeApplicableToCommonShares,5409000000,7249000000,5108000000,5040000000
