Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,85900000,75700000,78900000,76700000
effectOfAccountingCharges,,,,
incomeBeforeTax,626800000,432100000,407500000,379800000
minorityInterest,,,,
netIncome,553000000,358600000,355700000,347400000
sellingGeneralAdministrative,589000000,515300000,539400000,502800000
grossProfit,1319200000,1057600000,1051500000,1047700000
ebit,644300000,466600000,433200000,468200000
operatingIncome,644300000,466600000,433200000,468200000
otherOperatingExpenses,,,,
interestExpense,-12500000,-23900000,-30100000,-32600000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,70800000,75000000,45800000,58100000
totalRevenue,3764800000,3017800000,2957200000,2965100000
totalOperatingExpenses,3120500000,2551200000,2524000000,2496900000
costOfRevenue,2445600000,1960200000,1905700000,1917400000
totalOtherIncomeExpenseNet,-17500000,-34500000,-25700000,-88400000
discontinuedOperations,-3000000,1500000,-6000000,25700000
netIncomeFromContinuingOps,556000000,357100000,361700000,321700000
netIncomeApplicableToCommonShares,553000000,358600000,355700000,347400000
