Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,824436000,451969000,317736000,293235000
minorityInterest,,,,
netIncome,650624000,366738000,261575000,234461000
sellingGeneralAdministrative,786808000,659931000,583679000,556284000
grossProfit,1617092000,1130902000,924925000,870173000
ebit,830284000,470971000,341246000,313889000
operatingIncome,830284000,470971000,341246000,313889000
otherOperatingExpenses,,,,
interestExpense,-9839000,-10653000,-22472000,-20296000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,173812000,85231000,56161000,58774000
totalRevenue,5295584000,3936623000,3199517000,2998097000
totalOperatingExpenses,4465300000,3465652000,2858271000,2684208000
costOfRevenue,3678492000,2805721000,2274592000,2127924000
totalOtherIncomeExpenseNet,-5848000,-19002000,-23510000,-20654000
discontinuedOperations,,,,
netIncomeFromContinuingOps,650624000,366738000,261575000,234461000
netIncomeApplicableToCommonShares,646303000,366738000,261575000,234461000
