Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,439000000,379000000,432000000,441000000
effectOfAccountingCharges,,,,
incomeBeforeTax,1815000000,1362000000,1661000000,1693000000
minorityInterest,125000000,126000000,119000000,102000000
netIncome,1439000000,1059000000,1243000000,1341000000
sellingGeneralAdministrative,3735000000,3414000000,3621000000,3567000000
grossProfit,6557000000,6091000000,6527000000,6373000000
ebit,1770000000,1655000000,1822000000,1691000000
operatingIncome,1770000000,1655000000,1822000000,1691000000
otherOperatingExpenses,52000000,134000000,141000000,177000000
interestExpense,-121000000,-138000000,-132000000,-118000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,374000000,291000000,392000000,353000000
totalRevenue,16802000000,13834000000,15146000000,15374000000
totalOperatingExpenses,15032000000,12179000000,13324000000,13683000000
costOfRevenue,10245000000,7743000000,8619000000,9001000000
totalOtherIncomeExpenseNet,45000000,-293000000,-161000000,2000000
discontinuedOperations,19000000,3000000,3000000,18000000
netIncomeFromContinuingOps,1441000000,1071000000,1269000000,1340000000
netIncomeApplicableToCommonShares,1439000000,1059000000,1243000000,1341000000
