Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1740000000,-4964000000,4178000000,7445000000
minorityInterest,2471000000,2539000000,2259000000,2500000000
netIncome,1317000000,-3975000000,3076000000,5595000000
sellingGeneralAdministrative,6891000000,6107000000,6755000000,6557000000
grossProfit,9374000000,6422000000,11764000000,13562000000
ebit,633000000,-1556000000,3269000000,5186000000
operatingIncome,633000000,-1556000000,3269000000,5186000000
otherOperatingExpenses,400000000,476000000,399000000,463000000
interestExpense,-581000000,-499000000,-458000000,-504000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,146000000,-1250000000,801000000,1572000000
totalRevenue,111476000000,64129000000,107293000000,111492000000
totalOperatingExpenses,110843000000,65685000000,104024000000,106306000000
costOfRevenue,102102000000,57707000000,95529000000,97930000000
totalOtherIncomeExpenseNet,1107000000,-3408000000,909000000,2259000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,1594000000,-3714000000,3377000000,5873000000
netIncomeApplicableToCommonShares,1306000000,-3983000000,3070000000,5589000000
