Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,2746000000,-261000000,1008000000,1251000000
minorityInterest,,,,
netIncome,2118000000,-200000000,773000000,978000000
sellingGeneralAdministrative,292000000,244000000,324000000,381000000
grossProfit,9392000000,2469000000,4031000000,4315000000
ebit,4212000000,140000000,1852000000,1756000000
operatingIncome,4212000000,140000000,1852000000,1756000000
otherOperatingExpenses,2339000000,399000000,86000000,530000000
interestExpense,-161000000,-129000000,-121000000,-126000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,628000000,-61000000,235000000,276000000
totalRevenue,17870000000,7026000000,9676000000,9384000000
totalOperatingExpenses,13658000000,6886000000,7824000000,7628000000
costOfRevenue,8478000000,4557000000,5645000000,5069000000
totalOtherIncomeExpenseNet,-1466000000,-401000000,-844000000,-505000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,2118000000,-200000000,773000000,975000000
netIncomeApplicableToCommonShares,2113000000,-200000000,770000000,973000000
