Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,3038000000,2642000000,2085000000,1831000000
effectOfAccountingCharges,,,,
incomeBeforeTax,4099000000,5065000000,2998000000,2376000000
minorityInterest,,44000000.0,44000000.0,44000000.0
netIncome,4169000000,4202000000,2459000000,2057000000
sellingGeneralAdministrative,4559000000,3931000000,3112000000,2855000000
grossProfit,11921000000,10001000000,7987000000,7189000000
ebit,4315000000,3428000000,2797000000,2219000000
operatingIncome,4315000000,3428000000,2797000000,2219000000
otherOperatingExpenses,9000000,9000000,-7000000,284000000
interestExpense,-232000000,-209000000,-115000000,-77000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,-70000000,863000000,539000000,319000000
totalRevenue,25371000000,21454000000,17772000000,15451000000
totalOperatingExpenses,21056000000,18026000000,14975000000,13232000000
costOfRevenue,13450000000,11453000000,9785000000,8262000000
totalOtherIncomeExpenseNet,-216000000,1637000000,201000000,157000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,4169000000,4202000000,2459000000,2057000000
netIncomeApplicableToCommonShares,4169000000,4202000000,2459000000,2057000000
