Breakdown,2021-09-26,2020-09-27,2019-09-29,2018-09-30
researchDevelopment,7176000000,5975000000,5398000000,5625000000
effectOfAccountingCharges,,,,
incomeBeforeTax,10274000000,5719000000,7481000000,392000000
minorityInterest,,,,
netIncome,9043000000,5198000000,4386000000,-4964000000
sellingGeneralAdministrative,2339000000,2074000000,2195000000,2986000000
grossProfit,19304000000,14276000000,15674000000,12367000000
ebit,9789000000,6227000000,8081000000,3774000000
operatingIncome,9789000000,6227000000,8081000000,3774000000
otherOperatingExpenses,,,,-18000000.0
interestExpense,-559000000,-602000000,-627000000,-768000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,1231000000,521000000,3095000000,5356000000
totalRevenue,33566000000,23531000000,24273000000,22611000000
totalOperatingExpenses,23777000000,17304000000,16192000000,18837000000
costOfRevenue,14262000000,9255000000,8599000000,10244000000
totalOtherIncomeExpenseNet,485000000,-508000000,-600000000,-3382000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,9043000000,5198000000,4386000000,-4964000000
netIncomeApplicableToCommonShares,9043000000,5198000000,4386000000,-4964000000
