Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,-5305699000,-5790130000,1940200000,1836692000
minorityInterest,,,569981000.0,542020000.0
netIncome,-5260499000,-5797462000,1878887000,1811042000
sellingGeneralAdministrative,1412197000,1268924000,1663347000,1303144000
grossProfit,-1083258000,-486999000,4991990000,4231642000
ebit,-3788333000,-3035177000,2082701000,1894801000
operatingIncome,-3788333000,-3035177000,2082701000,1894801000
otherOperatingExpenses,,,,
interestExpense,-1291753000,-844238000,-408513000,-333672000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,-45200000,-15000000,32600000,20900000
totalRevenue,1532133000,2208805000,10950661000,9493849000
totalOperatingExpenses,5320466000,5243982000,8867960000,7599048000
costOfRevenue,2615391000,2695804000,5958671000,5262207000
totalOtherIncomeExpenseNet,-1517366000,-2754953000,-142501000,-58109000
discontinuedOperations,,,,
netIncomeFromContinuingOps,-5260499000,-5775130000,1907600000,1815792000
netIncomeApplicableToCommonShares,-5260499000,-5797462000,1878887000,1811042000
