Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,9325800000,3810400000,2429100000,2553500000
minorityInterest,,,,
netIncome,8075300000,3513200000,2115800000,2444400000
sellingGeneralAdministrative,1824900000,1346000000,1341900000,1127200000
grossProfit,10726100000,4642200000,3342500000,3259300000
ebit,8946800000,3576600000,2209800000,2534400000
operatingIncome,8946800000,3576600000,2209800000,2534400000
otherOperatingExpenses,-45600000,-280400000,-209200000,-402300000
interestExpense,-57300000,-56900000,-30200000,-28200000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,1250500000,297200000,313300000,109100000
totalRevenue,16071700000,8497100000,6557600000,5145600000
totalOperatingExpenses,7124900000,4920500000,4347800000,2611200000
costOfRevenue,5345600000,3854900000,3215100000,1886300000
totalOtherIncomeExpenseNet,379000000,233800000,219300000,19100000
discontinuedOperations,,,,
netIncomeFromContinuingOps,8075300000,3513200000,2115800000,2444400000
netIncomeApplicableToCommonShares,8075300000,3513200000,2115800000,2444400000
