Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,3215000000,1314000000,1985000000,1955000000
minorityInterest,,,,
netIncome,2521000000,1094000000,1582000000,1759000000
sellingGeneralAdministrative,2973000000,2824000000,2654000000,2638000000
grossProfit,6960000000,4955000000,5473000000,5517000000
ebit,0,0,0,0
operatingIncome,3259000000,1403000000,2030000000,2019000000
otherOperatingExpenses,728000000,728000000,789000000,860000000
interestExpense,,,,
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,694000000,220000000,403000000,387000000
totalRevenue,6960000000,4955000000,5473000000,5517000000
totalOperatingExpenses,3701000000,3552000000,3443000000,3498000000
costOfRevenue,0,0,0,0
totalOtherIncomeExpenseNet,-44000000,-89000000,-45000000,-64000000
discontinuedOperations,,,,191000000.0
netIncomeFromContinuingOps,2521000000,1094000000,1582000000,1568000000
netIncomeApplicableToCommonShares,2400000000,991000000,1503000000,1695000000
