Breakdown,2021-06-30,2020-06-30,2019-06-30,2018-06-30
researchDevelopment,225284000,201946000,180651000,155149000
effectOfAccountingCharges,,,,
incomeBeforeTax,883662000,733088000,518847000,521312000
minorityInterest,,,,
netIncome,474505000,621674000,404592000,315588000
sellingGeneralAdministrative,670387000,676689000,645010000,600369000
grossProfit,1889459000,1767389000,1536585000,1362164000
ebit,917583000,809059000,635986000,560263000
operatingIncome,917583000,809059000,635986000,560263000
otherOperatingExpenses,,,,
interestExpense,-23989000,-40377000,-36156000,-28355000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,409157000,111414000,114255000,205724000
totalRevenue,3196825000,2957013000,2606572000,2340196000
totalOperatingExpenses,2279242000,2147954000,1970586000,1779933000
costOfRevenue,1307366000,1189624000,1069987000,978032000
totalOtherIncomeExpenseNet,-33921000,-75971000,-117139000,-38951000
discontinuedOperations,,,,
netIncomeFromContinuingOps,474505000,621674000,404592000,315588000
netIncomeApplicableToCommonShares,474505000,621674000,404592000,315588000
