Breakdown,2021-09-30,2020-09-30,2019-09-30,2018-09-30
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1526200000,1136100000,901000000,1330800000
minorityInterest,304500000,319000000,319000000,319000000
netIncome,1358100000,1023400000,695800000,535500000
sellingGeneralAdministrative,1745300000,1515800000,1528800000,1612900000
grossProfit,2897700000,2595200000,2900100000,2884900000
ebit,1152400000,1079400000,1371300000,1272000000
operatingIncome,1152400000,1079400000,1371300000,1272000000
otherOperatingExpenses,,,,-16300000.0
interestExpense,-94600000,-103500000,-98200000,-73000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,181900000,112900000,205200000,795300000
totalRevenue,6997400000,6329800000,6694800000,6666000000
totalOperatingExpenses,5845000000,5250400000,5323500000,5394000000
costOfRevenue,4099700000,3734600000,3794700000,3781100000
totalOtherIncomeExpenseNet,373800000,56700000,-470300000,58800000
discontinuedOperations,,,,
netIncomeFromContinuingOps,1344300000,1023200000,695800000,535500000
netIncomeApplicableToCommonShares,1356000000,1022400000,695100000,535000000
