Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,474838000,354720000,261160000,310733000
minorityInterest,,,,
netIncome,350687000,260824000,203347000,231663000
sellingGeneralAdministrative,727489000,656207000,623379000,550698000
grossProfit,1261683000,1112628000,1021884000,927128000
ebit,439989000,368092000,317394000,309638000
operatingIncome,439989000,368092000,317394000,309638000
otherOperatingExpenses,,,,
interestExpense,-830000,-5082000,-6917000,-6917000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,124151000,93896000,57813000,79070000
totalRevenue,2424300000,2161220000,2015477000,1821565000
totalOperatingExpenses,1984311000,1793128000,1698083000,1511927000
costOfRevenue,1162617000,1048592000,993593000,894437000
totalOtherIncomeExpenseNet,34849000,-13372000,-56234000,1095000
discontinuedOperations,,,,
netIncomeFromContinuingOps,350687000,260824000,203347000,231663000
netIncomeApplicableToCommonShares,350687000,260824000,203347000,231663000
