Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,528400000,423600000,379700000,376900000
effectOfAccountingCharges,,,,
incomeBeforeTax,1271000000,1051400000,2057400000,1198400000
minorityInterest,,,,
netIncome,1152600000,949700000,1767900000,944400000
sellingGeneralAdministrative,1809300000,1560100000,1432100000,1506200000
grossProfit,3917400000,3270800000,3140100000,3279500000
ebit,1579700000,1287100000,1328300000,1396400000
operatingIncome,1579700000,1287100000,1328300000,1396400000
otherOperatingExpenses,,,,
interestExpense,-234100000,-218500000,-186200000,-182100000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,288400000,225900000,417400000,254000000
totalRevenue,5777800000,4854200000,4727700000,5191200000
totalOperatingExpenses,4198100000,3567100000,3399400000,3794800000
costOfRevenue,1860400000,1583400000,1587600000,1911700000
totalOtherIncomeExpenseNet,-308700000,-235700000,729100000,-198000000
discontinuedOperations,170000000,124200000,127900000,127900000
netIncomeFromContinuingOps,982600000,825500000,1640000000,944400000
netIncomeApplicableToCommonShares,1152600000,949700000,1767900000,944400000
