Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1575100000,1142700000,1295800000,1320900000
minorityInterest,800000,4900000,2700000,2400000
netIncome,1290400000,967200000,1073300000,1036900000
sellingGeneralAdministrative,1264500000,1139000000,1091900000,1059500000
grossProfit,4648000000,4128300000,4001000000,3890900000
ebit,2115300000,1830500000,1786700000,1717300000
operatingIncome,2115300000,1830500000,1786700000,1717300000
otherOperatingExpenses,82700000,82900000,81900000,80700000
interestExpense,-314600000,-355600000,-392000000,-389200000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,282800000,173100000,222000000,283300000
totalRevenue,11295000000,10153600000,10299400000,10040900000
totalOperatingExpenses,9179700000,8323100000,8512700000,8323600000
costOfRevenue,6647000000,6025300000,6298400000,6150000000
totalOtherIncomeExpenseNet,-540200000,-687800000,-490900000,-396400000
discontinuedOperations,,,,
netIncomeFromContinuingOps,1292300000,969600000,1073800000,1037600000
netIncomeApplicableToCommonShares,1290400000,967200000,1073300000,1036900000
