Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,2732000000,2582000000,2452000000,1878000000
effectOfAccountingCharges,,,,
incomeBeforeTax,4931000000,-2353000000,4152000000,2504000000
minorityInterest,1631000000,1721000000,2552000000,2273000000
netIncome,3864000000,-3519000000,5537000000,5269000000
sellingGeneralAdministrative,3154000000,4496000000,2980000000,2093000000
grossProfit,12525000000,8620000000,10932000000,7236000000
ebit,6817000000,1770000000,5735000000,3648000000
operatingIncome,6817000000,1770000000,5735000000,3648000000
otherOperatingExpenses,-178000000,-228000000,-235000000,-383000000
interestExpense,-1358000000,-1408000000,-1711000000,-1182000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,786000000,575000000,421000000,1098000000
totalRevenue,64388000000,56587000000,45349000000,34701000000
totalOperatingExpenses,57571000000,54817000000,39614000000,31053000000
costOfRevenue,51863000000,47967000000,34417000000,27465000000
totalOtherIncomeExpenseNet,-1886000000,-4123000000,-1583000000,-1144000000
discontinuedOperations,-33000000,-410000000,2027000000,4053000000
netIncomeFromContinuingOps,4145000000,-2928000000,3731000000,1406000000
netIncomeApplicableToCommonShares,3864000000,-3519000000,5537000000,5269000000
