Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,252564000,-17749000,186889000,51684000
minorityInterest,17250000,15194000,16052000,16052000
netIncome,237624000,24104000,146991000,47451000
sellingGeneralAdministrative,219122000,193366000,192717000,142526000
grossProfit,1735729000,1590028000,1506386000,1385939000
ebit,813657000,672702000,613437000,569311000
operatingIncome,813657000,672702000,613437000,569311000
otherOperatingExpenses,2789000,1990000,3154000,1989000
interestExpense,-419593000,-412802000,-415695000,-399146000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,14940000,-41796000,39605000,4233000
totalRevenue,2308834000,2083138000,2014645000,1865695000
totalOperatingExpenses,1495177000,1410436000,1401208000,1296384000
costOfRevenue,573105000,493110000,508259000,479756000
totalOtherIncomeExpenseNet,-561093000,-690451000,-426548000,-517627000
discontinuedOperations,,,,
netIncomeFromContinuingOps,237624000,24047000,147284000,47451000
netIncomeApplicableToCommonShares,237624000,24104000,146991000,47451000
