Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,219633000,163123000,121351000,82245000
effectOfAccountingCharges,,,,
incomeBeforeTax,187224000,163666000,178603000,137123000
minorityInterest,,,,8318000.0
netIncome,169170000,140322000,146549000,128833000
sellingGeneralAdministrative,201196000,159104000,137345000,97571000
grossProfit,629318000,461359000,479338000,319236000
ebit,208489000,139132000,220642000,139420000
operatingIncome,208489000,139132000,220642000,139420000
otherOperatingExpenses,,,,
interestExpense,-6376000,-5330000,-4805000,-2536000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,18054000,23344000,33646000,9077000
totalRevenue,1963865000,1459271000,1425660000,937237000
totalOperatingExpenses,1755376000,1320139000,1205018000,797817000
costOfRevenue,1334547000,997912000,946322000,618001000
totalOtherIncomeExpenseNet,-21265000,24534000,-42039000,-2297000
discontinuedOperations,,,,
netIncomeFromContinuingOps,169170000,140322000,144957000,128046000
netIncomeApplicableToCommonShares,169170000,140322000,146549000,128833000
