Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,716200000,626200000,370300000,457800000
minorityInterest,,,,
netIncome,506800000,502900000,263000000,193100000
sellingGeneralAdministrative,768000000,772500000,850000000,778400000
grossProfit,1680900000,1609300000,1564800000,1502100000
ebit,874100000,799300000,685900000,708000000
operatingIncome,874100000,799300000,685900000,708000000
otherOperatingExpenses,,,,
interestExpense,-174700000,-184600000,-196000000,-193000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,225000000,142100000,76600000,307500000
totalRevenue,5533800000,4903200000,4791100000,4732700000
totalOperatingExpenses,4659700000,4103900000,4105200000,4024700000
costOfRevenue,3852900000,3293900000,3226300000,3230600000
totalOtherIncomeExpenseNet,-157900000,-173100000,-315600000,-250200000
discontinuedOperations,15600000,18800000,-30700000,42800000
netIncomeFromContinuingOps,491200000,484100000,293700000,150300000
netIncomeApplicableToCommonShares,506800000,502700000,262500000,192200000
