Breakdown,2022-04-30,2021-04-30,2020-04-30,2019-04-30
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,843800000,1171900000,1026700000,701600000
minorityInterest,,,,
netIncome,631700000,876300000,779500000,514400000
sellingGeneralAdministrative,1375300000,1539800000,1481800000,1523000000
grossProfit,2721200000,3142100000,3002000000,2915700000
ebit,1134300000,1372700000,1284500000,1155700000
operatingIncome,1134300000,1372700000,1284500000,1155700000
otherOperatingExpenses,-12000000,-3400000,-600000,-3300000
interestExpense,-160900000,-177100000,-189200000,-207900000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,212100000,295600000,247200000,187200000
totalRevenue,7998900000,8002700000,7801000000,7838000000
totalOperatingExpenses,6864600000,6630000000,6516500000,6682300000
costOfRevenue,5277700000,4860600000,4799000000,4922300000
totalOtherIncomeExpenseNet,-290500000,-200800000,-257800000,-454100000
discontinuedOperations,,,,
netIncomeFromContinuingOps,631700000,876300000,779500000,514400000
netIncomeApplicableToCommonShares,629900000,872600000,775100000,514400000
