Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,554000000,580000000,717000000,702000000
effectOfAccountingCharges,,,,
incomeBeforeTax,2374000000,-11298000000,-10418000000,2624000000
minorityInterest,282000000,418000000,416000000,424000000
netIncome,1881000000,-10518000000,-10137000000,2138000000
sellingGeneralAdministrative,339000000,365000000,511000000,444000000
grossProfit,3658000000,2601000000,4197000000,4337000000
ebit,2765000000,1656000000,2969000000,3191000000
operatingIncome,2765000000,1656000000,2969000000,3191000000
otherOperatingExpenses,,,,
interestExpense,-539000000,-563000000,-609000000,-575000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,446000000,-812000000,-311000000,447000000
totalRevenue,22929000000,23601000000,32917000000,32815000000
totalOperatingExpenses,20164000000,21945000000,29948000000,29624000000
costOfRevenue,19271000000,21000000000,28720000000,28478000000
totalOtherIncomeExpenseNet,-391000000,-12954000000,-13387000000,-567000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,1928000000,-10486000000,-10107000000,2177000000
netIncomeApplicableToCommonShares,1881000000,-10518000000,-10137000000,2138000000
