Breakdown,2022-01-01,2021-01-02,2019-12-28,2018-12-29
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1088400000,835500000,923000000,910600000
minorityInterest,21900000,21700000,21700000,19800000
netIncome,820500000,627000000,693500000,679900000
sellingGeneralAdministrative,1244100000,1100600000,1117200000,1140300000
grossProfit,2382800000,2004200000,2089600000,2099900000
ebit,1138700000,903600000,972400000,959600000
operatingIncome,1138700000,903600000,972400000,959600000
otherOperatingExpenses,,,,
interestExpense,-53000000,-53800000,-48800000,-50100000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,247000000,189100000,211800000,214400000
totalRevenue,4601700000,3942200000,4067700000,4070400000
totalOperatingExpenses,3463000000,3038600000,3095300000,3110800000
costOfRevenue,2218900000,1938000000,1978100000,1970500000
totalOtherIncomeExpenseNet,-50300000,-68100000,-49400000,-49000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,841400000,646400000,711200000,696200000
netIncomeApplicableToCommonShares,820500000,627000000,693500000,679900000
