Breakdown,2021-10-31,2020-10-31,2019-10-31,2018-10-31
researchDevelopment,1504823000,1279022000,1136932000,1084822000
effectOfAccountingCharges,,,,
incomeBeforeTax,805514000,638159000,545506000,363543000
minorityInterest,3806000,4963000,5863000,5863000
netIncome,757516000,664347000,532367000,432518000
sellingGeneralAdministrative,1035479000,916540000,862108000,859538000
grossProfit,3390877000,2943043000,2667371000,2469194000
ebit,768195000,656200000,567417000,399170000
operatingIncome,768195000,656200000,567417000,399170000
otherOperatingExpenses,,,,
interestExpense,-3365000,-5140000,-11659000,-15607000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,49155000,-25288000,13139000,-68975000
totalRevenue,4204193000,3685281000,3360694000,3121058000
totalOperatingExpenses,3435998000,3029081000,2793277000,2721888000
costOfRevenue,813316000,742238000,693323000,651864000
totalOtherIncomeExpenseNet,37319000,-18041000,-21911000,-35627000
discontinuedOperations,,,,
netIncomeFromContinuingOps,756359000,663447000,532367000,432518000
netIncomeApplicableToCommonShares,757516000,664347000,532367000,432518000
