Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,2561000000,3481000000,6527000000,2733000000
minorityInterest,4693000000,4553000000,4545000000,4607000000
netIncome,2393000000,3119000000,4739000000,2226000000
sellingGeneralAdministrative,-569000000,-415000000,-267000000,-235000000
grossProfit,10061000000,9897000000,9603000000,9616000000
ebit,4083000000,5235000000,5602000000,4345000000
operatingIncome,4083000000,5235000000,5602000000,4345000000
otherOperatingExpenses,2982000000,1559000000,1230000000,2375000000
interestExpense,-1852000000,-1836000000,-1751000000,-1858000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,267000000,393000000,1798000000,449000000
totalRevenue,23113000000,20375000000,21419000000,23495000000
totalOperatingExpenses,19030000000,15140000000,15817000000,19150000000
costOfRevenue,13052000000,10478000000,11816000000,13879000000
totalOtherIncomeExpenseNet,-1522000000,-1754000000,925000000,-1612000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,2294000000,3088000000,4729000000,2284000000
netIncomeApplicableToCommonShares,2393000000,3119000000,4739000000,2226000000
