Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,2725906000,1272687000,2453242000,2859241000
minorityInterest,1039273000,618766000,603913000,730438000
netIncome,2249631000,1112564000,2101584000,2440058000
sellingGeneralAdministrative,329302000,292853000,375313000,334461000
grossProfit,4143625000,3715149000,4649345000,4637324000
ebit,2411090000,1966609000,2828587000,2926299000
operatingIncome,2411090000,1966609000,2828587000,2926299000
otherOperatingExpenses,140518000,137679000,104942000,94110000
interestExpense,-795712000,-784400000,-789353000,-815923000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,157199000,-4637000,30054000,36898000
totalRevenue,5114689000,4602303000,5670989000,5645288000
totalOperatingExpenses,2703599000,2635694000,2842402000,2718989000
costOfRevenue,971064000,887154000,1021644000,1007964000
totalOtherIncomeExpenseNet,314816000,-693922000,-375345000,-67058000
discontinuedOperations,,,,
netIncomeFromContinuingOps,2568707000,1277324000,2423188000,2822343000
netIncomeApplicableToCommonShares,2246294000,1109227000,2098247000,2436721000
