Breakdown,2022-03-31,2021-03-31,2020-03-31,2019-03-31
researchDevelopment,87944000,66326000,65546000,63038000
effectOfAccountingCharges,,,,
incomeBeforeTax,314503000,517533000,498754000,369029000
minorityInterest,12281000,10478000,12848000,7988000
netIncome,243888000,397400000,407659000,303721000
sellingGeneralAdministrative,1296964000,695686000,708506000,644787000
grossProfit,2016362000,1343100000,1319996000,1174986000
ebit,631454000,581088000,545944000,467161000
operatingIncome,631454000,581088000,545944000,467161000
otherOperatingExpenses,,,,
interestExpense,-89593000,-37180000,-40279000,-45015000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,71633000,120663000,90895000,64283000
totalRevenue,4585064000,3107519000,3030895000,2782170000
totalOperatingExpenses,3953610000,2526431000,2484951000,2315009000
costOfRevenue,2568702000,1764419000,1710899000,1607184000
totalOtherIncomeExpenseNet,-316951000,-63555000,-47190000,-98132000
discontinuedOperations,,,,
netIncomeFromContinuingOps,242870000,396870000,407859000,304746000
netIncomeApplicableToCommonShares,243888000,397400000,407659000,303721000
