Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,3171000000,2899000000,2712000000,3101000000
minorityInterest,,,,
netIncome,2693000000,2420000000,2242000000,2593000000
sellingGeneralAdministrative,6735000000,6433000000,6480000000,6419000000
grossProfit,12060000000,11615000000,11746000000,12116000000
ebit,0,0,0,0
operatingIncome,3478000000,3316000000,3135000000,3651000000
otherOperatingExpenses,1847000000,1866000000,2131000000,2046000000
interestExpense,,,,
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,478000000,479000000,470000000,508000000
totalRevenue,12060000000,11615000000,11746000000,12116000000
totalOperatingExpenses,8582000000,8299000000,8611000000,8465000000
costOfRevenue,0,0,0,0
totalOtherIncomeExpenseNet,-307000000,-417000000,-423000000,-550000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,2693000000,2420000000,2242000000,2593000000
netIncomeApplicableToCommonShares,2572000000,2257000000,2009000000,2404000000
