Breakdown,2022-07-01,2021-07-02,2020-07-03,2019-06-28
researchDevelopment,941000000,903000000,973000000,991000000
effectOfAccountingCharges,,,,
incomeBeforeTax,1679000000,1348000000,1032000000,1372000000
minorityInterest,,,,
netIncome,1649000000,1314000000,1004000000,2012000000
sellingGeneralAdministrative,559000000,502000000,473000000,453000000
grossProfit,3470000000,2917000000,2842000000,2932000000
ebit,1959000000,1500000000,1382000000,1465000000
operatingIncome,1959000000,1500000000,1382000000,1465000000
otherOperatingExpenses,,,,
interestExpense,-249000000,-220000000,-201000000,-224000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,30000000,34000000,28000000,-640000000
totalRevenue,11661000000,10681000000,10509000000,10390000000
totalOperatingExpenses,9702000000,9181000000,9127000000,8925000000
costOfRevenue,8191000000,7764000000,7667000000,7458000000
totalOtherIncomeExpenseNet,-280000000,-152000000,-350000000,-93000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,1649000000,1314000000,1004000000,2012000000
netIncomeApplicableToCommonShares,1649000000,1314000000,1004000000,2012000000
