Breakdown,2022-01-01,2021-01-02,2019-12-28,2018-12-29
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1660000000,1228900000,1083200000,1022100000
minorityInterest,1900000,6800000,5900000,3700000
netIncome,1689200000,1233800000,955800000,605200000
sellingGeneralAdministrative,3052000000,2476300000,2470800000,2985900000
grossProfit,5233200000,4467100000,4261400000,4916800000
ebit,2016900000,1841800000,1560700000,1692000000
operatingIncome,2016900000,1841800000,1560700000,1692000000
otherOperatingExpenses,160400000,120000000,203600000,210900000
interestExpense,-185400000,-222600000,-282200000,-277900000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,61400000,43000000,126800000,416300000
totalRevenue,15617200000,13057700000,12912900000,13982400000
totalOperatingExpenses,13600300000,11215900000,11352200000,12290400000
costOfRevenue,10384000000,8590600000,8651500000,9065600000
totalOtherIncomeExpenseNet,-356900000,-612900000,-477500000,-669900000
discontinuedOperations,88900000,48800000,1600000,1600000
netIncomeFromContinuingOps,1598600000,1185900000,956400000,605800000
netIncomeApplicableToCommonShares,1675000000,1209700000,954000000,605200000
