Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,5503000000,1797000000,4887000000,3644000000
minorityInterest,,,,
netIncome,4221000000,1385000000,3747000000,2790000000
sellingGeneralAdministrative,3319000000,3038000000,3356000000,3187000000
grossProfit,9466000000,5852000000,9132000000,7739000000
ebit,0,0,0,0
operatingIncome,5607000000,2172000000,5160000000,3883000000
otherOperatingExpenses,540000000,642000000,616000000,669000000
interestExpense,,,,
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,1282000000,412000000,1140000000,854000000
totalRevenue,9466000000,5852000000,9132000000,7739000000
totalOperatingExpenses,3859000000,3680000000,3972000000,3856000000
costOfRevenue,0,0,0,0
totalOtherIncomeExpenseNet,-104000000,-375000000,-273000000,-239000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,4221000000,1385000000,3747000000,2790000000
netIncomeApplicableToCommonShares,4179000000,1343000000,3747000000,2790000000
