Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,1235000000,984000000,971000000,862000000
effectOfAccountingCharges,,,,
incomeBeforeTax,2281000000,1954000000,2562000000,2356000000
minorityInterest,,,,
netIncome,1994000000,1599000000,2083000000,3553000000
sellingGeneralAdministrative,5753000000,4759000000,4968000000,4808000000
grossProfit,11262000000,9158000000,9801000000,8981000000
ebit,3655000000,2943000000,3398000000,2894000000
operatingIncome,3655000000,2943000000,3398000000,2894000000
otherOperatingExpenses,,,,
interestExpense,-337000000,-315000000,-287000000,-264000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,287000000,355000000,479000000,-1197000000
totalRevenue,17108000000,14351000000,14884000000,13601000000
totalOperatingExpenses,13453000000,11408000000,11486000000,10707000000
costOfRevenue,5846000000,5193000000,5083000000,4620000000
totalOtherIncomeExpenseNet,-1374000000,-989000000,-836000000,-538000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,1994000000,1599000000,2083000000,3553000000
netIncomeApplicableToCommonShares,1994000000,1599000000,2083000000,3553000000
