Breakdown,2021-07-03,2020-06-27,2019-06-29,2018-06-30
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,584728000,293384000,2005836000,1956224000
minorityInterest,34588000,34265000,35426000,37649000
netIncome,524209000,215475000,1674271000,1430766000
sellingGeneralAdministrative,7711255000,8204096000,9113717000,8735275000
grossProfit,9356749000,9901664000,11408987000,11085391000
ebit,1591043000,1637225000,2295270000,2350116000
operatingIncome,1591043000,1637225000,2295270000,2350116000
otherOperatingExpenses,17470000,22058000,22058000,22058000
interestExpense,-880137000,-408220000,-360423000,-395483000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,60519000,77909000,331565000,525458000
totalRevenue,51297843000,52893310000,60113922000,58727324000
totalOperatingExpenses,49706800000,51256085000,57818652000,56377208000
costOfRevenue,41941094000,42991646000,48704935000,47641933000
totalOtherIncomeExpenseNet,-1006315000,-1343841000,-289434000,-393892000
discontinuedOperations,,,,
netIncomeFromContinuingOps,524209000,215475000,1674271000,1430766000
netIncomeApplicableToCommonShares,524209000,215475000,1674271000,1430766000
