Breakdown,2021-09-30,2020-09-30,2019-09-30,2018-09-30
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,715000000,740000000,1063000000,986000000
minorityInterest,6000000,4000000,10000000,10000000
netIncome,680000000,699000000,890000000,957000000
sellingGeneralAdministrative,636000000,685000000,744000000,450000000
grossProfit,2549000000,2694000000,2809000000,2184000000
ebit,1776000000,1840000000,1930000000,1662000000
operatingIncome,1776000000,1840000000,1930000000,1662000000
otherOperatingExpenses,,,,
interestExpense,-1059000000,-1029000000,-859000000,-663000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,34000000,87000000,222000000,24000000
totalRevenue,4798000000,5103000000,5223000000,3811000000
totalOperatingExpenses,3022000000,3263000000,3293000000,2149000000
costOfRevenue,2249000000,2409000000,2414000000,1627000000
totalOtherIncomeExpenseNet,-1061000000,-1100000000,-867000000,-676000000
discontinuedOperations,,47000000.0,51000000.0,-5000000.0
netIncomeFromContinuingOps,681000000,653000000,841000000,962000000
netIncomeApplicableToCommonShares,607000000,514000000,779000000,901000000
