Breakdown,2022-01-29,2021-01-30,2020-02-01,2019-02-02
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,4397608000,89263000,4406183000,4173211000
minorityInterest,,,,
netIncome,3282815000,90470000,3272193000,3059798000
sellingGeneralAdministrative,12587617000,10438284000,10433826000,6923564000
grossProfit,17101549000,10508514000,14850035000,11141757000
ebit,4513932000,70230000,4416209000,4218193000
operatingIncome,4513932000,70230000,4416209000,4218193000
otherOperatingExpenses,,,,
interestExpense,-119512000,-193654000,-59086000,-64839000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,1114793000,-1207000,1133990000,1113413000
totalRevenue,48549982000,32136962000,41716977000,38972934000
totalOperatingExpenses,44036050000,32066732000,37300768000,34754741000
costOfRevenue,31448433000,21628448000,26866942000,27831177000
totalOtherIncomeExpenseNet,-116324000,19033000,-10026000,-44982000
discontinuedOperations,,,,
netIncomeFromContinuingOps,3282815000,90470000,3272193000,3059798000
netIncomeApplicableToCommonShares,3282815000,90470000,3272193000,3059798000
