Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,1406000000,1181000000,1003000000,967000000
effectOfAccountingCharges,,,,
incomeBeforeTax,8837000000,7227000000,4072000000,3262000000
minorityInterest,184000000,10000000,10000000,10000000
netIncome,7725000000,6375000000,3696000000,2938000000
sellingGeneralAdministrative,8001000000,6940000000,6139000000,6022000000
grossProfit,19638000000,16008000000,11328000000,10869000000
ebit,10228000000,7871000000,4186000000,3880000000
operatingIncome,10228000000,7871000000,4186000000,3880000000
otherOperatingExpenses,3000000,16000000,16000000,16000000
interestExpense,-536000000,-553000000,-676000000,-667000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,1109000000,850000000,374000000,324000000
totalRevenue,39211000000,32218000000,25542000000,24358000000
totalOperatingExpenses,28983000000,24347000000,21356000000,20478000000
costOfRevenue,19573000000,16210000000,14214000000,13489000000
totalOtherIncomeExpenseNet,-1391000000,-644000000,-114000000,-618000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,7728000000,6377000000,3698000000,2938000000
netIncomeApplicableToCommonShares,7725000000,6375000000,3696000000,2938000000
